subject	predicate	object	new_relation
reactome:BiochemicalReaction12392	bp3:nextStep	reactome:BiochemicalReaction12393	yes
reactome:BiochemicalReaction12391	bp3:nextStep	reactome:BiochemicalReaction12396	yes
reactome:BiochemicalReaction12396	bp3:nextStep	reactome:BiochemicalReaction12397	yes
reactome:BiochemicalReaction12389	bp3:nextStep	reactome:BiochemicalReaction12390	yes
reactome:BiochemicalReaction12423	bp3:nextStep	reactome:BiochemicalReaction12425	yes
reactome:BiochemicalReaction12423	bp3:nextStep	reactome:BiochemicalReaction12426	yes
reactome:BiochemicalReaction12413	bp3:nextStep	reactome:BiochemicalReaction12414	yes
reactome:BiochemicalReaction12414	bp3:nextStep	reactome:BiochemicalReaction12415	yes
reactome:BiochemicalReaction12410	bp3:nextStep	reactome:BiochemicalReaction12411	yes
reactome:BiochemicalReaction12410	bp3:nextStep	reactome:BiochemicalReaction12412	yes
reactome:BiochemicalReaction12429	bp3:nextStep	reactome:BiochemicalReaction12430	yes
reactome:BiochemicalReaction12419	bp3:nextStep	reactome:BiochemicalReaction12420	yes
reactome:BiochemicalReaction12420	bp3:nextStep	reactome:BiochemicalReaction12421	yes
reactome:BiochemicalReaction12415	bp3:nextStep	reactome:BiochemicalReaction12416	yes
reactome:BiochemicalReaction12400	bp3:nextStep	reactome:BiochemicalReaction12399	yes
reactome:BiochemicalReaction12399	bp3:nextStep	reactome:BiochemicalReaction12401	yes
reactome:BiochemicalReaction12404	bp3:nextStep	reactome:BiochemicalReaction12405	yes
reactome:BiochemicalReaction12404	bp3:nextStep	reactome:BiochemicalReaction12407	yes
reactome:BiochemicalReaction12404	bp3:nextStep	reactome:BiochemicalReaction12406	yes
reactome:BiochemicalReaction12407	bp3:nextStep	reactome:BiochemicalReaction12408	yes
reactome:BiochemicalReaction12401	bp3:nextStep	reactome:BiochemicalReaction12402	yes
reactome:BiochemicalReaction12394	bp3:nextStep	reactome:BiochemicalReaction12395	yes
reactome:BiochemicalReaction12384	bp3:nextStep	reactome:BiochemicalReaction12385	yes
reactome:BiochemicalReaction12385	bp3:nextStep	reactome:BiochemicalReaction12387	yes
reactome:Pathway2275	bp3:pathwayComponent	reactome:BiochemicalReaction12383	no
