subject	predicate	object	new_relation
reactome:BiochemicalReaction12392	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12393	yes
reactome:BiochemicalReaction12391	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12392	yes
reactome:BiochemicalReaction12386	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12392	yes
reactome:BiochemicalReaction12387	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12392	yes
reactome:BiochemicalReaction12391	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12396	yes
reactome:BiochemicalReaction12396	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12397	yes
reactome:BiochemicalReaction12395	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12396	yes
reactome:BiochemicalReaction12389	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12390	yes
reactome:BiochemicalReaction12388	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12389	yes
reactome:BiochemicalReaction12387	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12388	yes
reactome:BiochemicalReaction12423	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12425	yes
reactome:BiochemicalReaction12423	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12426	yes
reactome:BiochemicalReaction12413	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12414	yes
reactome:BiochemicalReaction12414	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12415	yes
reactome:BiochemicalReaction12410	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12411	yes
reactome:BiochemicalReaction12410	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12412	yes
reactome:BiochemicalReaction12409	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12410	yes
reactome:BiochemicalReaction12429	http://abstraction/NextStepBiochemicalReaction/	reactome:BiochemicalReaction12430	yes
